slot,title,slug,content,speakers,Speaker Id,Session id,Start time (PST),Duration,time_start,time_end,type,track,language,url,Informed,Confirmed,Tech check,Rec status
a2,Istio Advanced Usecases,istio-advanced-usecases,"Salesforce is onboarding several open source stacks onto Service Mesh. As part of that, we have been solving a lot of advanced usecases with the features supported by Istio. This presentation walks you through how we have used Istio features to onboard these open source stacks onto Mesh. This presentation specifically covers
 
 * Hbase running in a Multicluster setup with Istio DNS
 * Cassandra running in a Multicluster setup with Istio DNS
 * Onboarding Trino
 * RabbitMQ with K8s Peer discovery
 * AWS services like Elastic Cache (with Auth support) and Postgres (with startTLS support)",Rama Chavali,8674f07b-3687-449c-adbb-b92961939369,323975,Apr-25 9:00,35,2022-04-25T16:00:00.000Z,2022-04-25T16:35:00.000Z,Presentation,Use case,English,/sessions/istio-advanced-usecases,25 Mar 2022 9:35 PM,26 Mar 2022 7:01 AM,,
a3,External CA integration with Istio explained,external-ca-integration-with-istio-explained,"Most organizations already have their PKI system in place before they adopt Istio or any service mesh. There are a few approaches in the Istio community, either plugging in your intermediate CA as secrets manually, or use the istio-csr open source project, or leverage Kubernetes CA or Kubernetes Certificate Signing Request (CSR) API. This talk dives into the few approaches out there in the service mesh community to tackle this challenge and the tradeoffs among them.","Lin Sun, Josh van Leeuwen","615aa5ad-a025-4800-91eb-a8997a2fa446, 02f223c1-b5dd-4253-98b4-376197078ec1",323950,Apr-25 9:40,35,2022-04-25T16:40:00.000Z,2022-04-25T17:15:00.000Z,Presentation,"Tools, features & functionality",English,/sessions/external-ca-integration-with-istio-explained,25 Mar 2022 9:35 PM,26 Mar 2022 7:26 PM,,
a4,Running Istio at Scale for a Secure and Compliant Cloud,running-istio-scale,"This talk will discuss how IBM leverages Istio as the bedrock of its Cloud for Financial Services. Providing a performant, secure, and compliant control plane for its core systems. It will discuss the challenges and pitfalls encountered during adoption; the evolution of the deployment process and its impact on production environments; and the configurations needed to maintain scale and performance for robust systems. The goal of this talk is to provide insight into the IBM Cloud Istio journey and generate a discussion on what is coming next.","Lucas Copi, Rafael Polanco","2859a328-a8c6-4ea9-94c3-c4a46a4c5723, ca98b113-77c8-49b3-9536-11a179268158",324484,Apr-25 10:20,35,2022-04-25T17:20:00.000Z,2022-04-25T17:55:00.000Z,Presentation,Getting started,English,/sessions/running-istio-scale,25 Mar 2022 9:35 PM,25 Mar 2022 9:55 PM,,
aw,Istio 0 to 60 Workshop,istio-0-to-60-workshop,"This workshop consists of a series of labs that together comprise a hands-on tour of Istio ""from 0 to 60,"" so to speak.
 
Eitan and Peter will introduce you to each topic in turn, and walk you through each lab.
 
After Installing Istio on top a Kubernetes cluster and deploying a microservices application to the mesh, you will work through a lab corresponding to each of the key features of Istio: 
 - Configuring Ingress
 - Observability
 - Security
 - Traffic management
 
If you want to get a better understanding of Istio, this workshop might be right for you!
 
Prerequisites:
 - Basic understanding of Kubernetes, Docker, and Linux command line.
 
After completing this workshop, you’ll be able to:
 - Understand the architecture and components of Istio 
 - Deploy Istio on a Kubernetes cluster 
 - Use traffic routing for blue-green and canary deployments 
 - Use Grafana, Zipkin, and Kiali for service observability 
 - Understand the basics of security in Istio and control access to your workloads","Eitan Suez, Peter Jausovec","fb5cfdbb-623c-42d3-bbd1-9a29965f5efa, 4c68d4f9-2037-4d99-94ec-dcf2489d6dd2",320167,Apr-25 11:00,150,2022-04-25T18:00:00.000Z,2022-04-25T20:30:00.000Z,Workshop,Getting started,English,/sessions/istio-0-to-60-workshop,,,,
a5,Lessons Learned on Multi-tenancy Controls in Istio,lessons-learned-on-multi-tenancy-controls,"As Istio adoption becomes mainstream within your organization, new challenges surrounding multi-tenancy and security across multi-cluster will naturally start to grow:

 - Which group owns what process/workflow? 
 - Which cluster(s) does each policy affect?  
 - How to provide control to some groups, while blocking access to others w.r.t. the mesh?
 - How does an administrator set this up in a secure fashion? 
 - How can we stay informed about potential policy violations?
 - How can this be fully automated?
 
In this discussion, Will and Alex will discuss these topics in detail and review strategies and experiences tackling these challenges with some of the largest deployments of service mesh in the world.","Alex Ly, Will McKinley","ee9fe6af-4768-46c2-bf10-98dd6641e7b1, 706d3a04-85b4-4bc3-9099-3a7c6441d7d0",324127,Apr-25 11:30,35,2022-04-25T18:30:00.000Z,2022-04-25T19:05:00.000Z,Presentation,"Tools, features & functionality",English,/sessions/lessons-learned-on-multi-tenancy-controls,25 Mar 2022 9:35 PM,28 Mar 2022 7:39 PM,,
a6,Proxyless gRPC,proxyless-grpc,"gRPC has been a popular choice for building microservices based service mesh architectures especially after the recent introduction of service mesh features such as service discovery, load balancing, mTLS for transport security, and observability which eliminated the need for sidecar proxies - like Envoy - in the service mesh. The introduction of these features in gRPC enabled a ""proxyless service mesh"". Besides supporting Google's Traffic Director proxyless service mesh product, proxyless gRPC also works with Istio because of the use of ""xDS"" - the industry standard and open protocol created by Envoy. 
 
The talk will include the use-case of how you can manage gRPC workloads without having to deploy an Envoy sidecar. It will also include the current efforts to standardize Istio support across all gRPC languages and multiple environments. One of those environments is ASM - which is managed Istio in Google Cloud and the talk will include a description of that implementation.",Sanjay Pujare,2e89e0af-f5d0-4dd6-8ca0-721f80368e87,324521,Apr-25 12:10,35,2022-04-25T19:10:00.000Z,2022-04-25T19:45:00.000Z,Presentation,Infrastructure & networking,English,/sessions/proxyless-grpc,25 Mar 2022 9:35 PM,28 Mar 2022 9:50 PM,,
a7,"Create resilient multi-cluster, multi-regional and multi-tenant architectures with Istio and K8s",create-resilient-multi-cluster-architectures,"Building distributed applications is hard! Building globally scalable distributed applications is harder! Maintaining and growing these services as your business grows is even harder!

This session takes an opinionated approach on how to create globally scalable platforms on multi-cluster, multi-regional and multi-tenant Kubernetes cluster architectures using Istio. 
 
The session covers (design opinions and reasonings for) the following concepts.
 
 1. Designing multi-cluster Kubernetes platforms 
 2. Application multi-tenancy
 3. Global networking, ingress, multi-cluster load balancing, locality considerations
 4. Security - AuthN, AuthZ, NetPol
 5. Ops - Observability, dashboards
 6. Application and cluster life-cycle management
 7. Demo (on GCP)",Ameer Abbas,b491b4f8-96eb-47e3-b55e-bb8b1fac8c60,324495,Apr-25 12:50,35,2022-04-25T19:50:00.000Z,2022-04-25T20:25:00.000Z,Presentation,Infrastructure & networking,English,/sessions/create-resilient-multi-cluster-architectures,25 Mar 2022 9:35 PM,25 Mar 2022 9:40 PM,,
b1b,Istio Open Source Ecosystem Outlook From China（Istio 开源生态展望）,ecosystem-outlook-from-china,"This panel focuses on the development of Istio's open source ecology and technology in China. We will do an in-depth discussion on the hot technologies and open source practices in the Istio field at this stage, such as ebpf, proxyless, custom protocol access, open source products and ecological development, etc.
 
本次圆桌会议聚焦于Istio在中国的开源生态和技术的发展，我们会对现阶段 Istio 领域的热门技术和开源实践做深入的探讨，例如 ebpf、proxyless、自定义协议接入、开源产品及生态发展等。","Jimmy Song, Kebe Liu, Huabing Zhao, Ruofei Ma","5f089b75-8835-4a12-81aa-2af5e1b358b6, 26415447-f9a1-4909-a6df-6695199e792f, 1892791a-a1af-4fe9-b7c8-ee89de2c76c3, b4317b42-f5e6-4e7c-bc9a-18e280eb292b",323737,Apr-25 18:15,40,2022-04-26T01:15:00.000Z,2022-04-26T01:55:00.000Z,Panel,Tech evolution & what's next,Chinese,/sessions/ecosystem-outlook-from-china,1 Apr 2022 3:08 AM,1 Apr 2022 3:24 AM,,
b2,Zhihu‘s istio Journey,zhihus-istio-journey,"In this presentation, we will talk about how we upgraded our microservices architecture by using istio in large scale clusters. Including:  
 1. How to make istio managed services and our existing services communicate with each other. 
 2. Use istio's dynamic routing capabilities to implement sandbox functionality. 
 3. Simplified the configuration management of istio by introducing a new CR (istiofilter) and implementing a new management console.
 4. Simplify the rate limit configurations by implementing a new CR.
 5. Performance tuning in large scale clusters. 
 
 
 在本次演讲中，我们要谈谈我们如何在大规模集群下使用istio升级我们的微服务架构。
 这包括：
 1. 如何使 istio 管理的服务和现存服务之间可以互相通信。
 2. 使用 istio 动态路由的能力实现沙箱功能。
 3. 通过引入一个新的自定义资源 istiofilter 来简化 istio 的各项配置管理，并通过此实现一个 istio 的管理平台。
 4. 通过一个新的自定义资源实现限流配置的简化管理。
 5. 大规模集群性能优化
 
 等等","阳 唐, 楚瑜 谢","e15316e8-fda4-4d4a-95b2-33f2b212e2f9, f88ac5ce-059e-4b7a-b33f-d6164b4400ce",320120,Apr-25 19:00,35,2022-04-26T02:00:00.000Z,2022-04-26T02:35:00.000Z,Presentation,Use case,Chinese,/sessions/zhihus-istio-journey,28 Mar 2022 3:54 AM,No,,
b3,The road to microservice for Database as a Service (DBaaS) via Istio,microservice-dbaas,"Database as a Service (DBaaS) saw a significant growth YoY. One reason for the growth of DBaaS is explosive growth of data. The pandemic created strong data growth.
 
However, well designed DBaaS systems tend to adopt a stateless, loosely coupled architecture, with efficient message passing to produce a scalable, stable and reliable service. In addition, serving for multi-tenants to reduce cost and provide highly availability and scalability is a important offering of DBaaS.

Successful multi-tenant platforms require massive scalability, online patching/upgrading, the ability to process high volumes of data ingestion.
 
To make the DBaaS become more cloud native, there is a journey to migrate the legacy monolithic systems into microservice architecture. And as an excellent project of service mesh, Istio become the first choice to help to complete this process. 
 
In this talk, the audience can know the whole process to build a DBaaS in cloud native mode via Istio.","Peng Hui Jiang, Huailong Zhang","17c496f0-472c-462c-80c8-b08bc9ff8c9b, 01a859a5-b55a-4be2-9b1b-5ecca26a150f",324399,Apr-25 19:40,35,2022-04-26T02:40:00.000Z,2022-04-26T03:15:00.000Z,Presentation,"Tools, features & functionality",Chinese,/sessions/microservice-dbaas,28 Mar 2022 3:54 AM,28 Mar 2022 7:46 AM,,
b4,Tencent Music’s service mesh practice with Istio and Aeraki(Istio + Aeraki 在腾讯音乐的服务网格落地),tencent-music-aeraki,"This session will introduce Tencent music's service mesh practice with Istio and Aeraki. Including:
 
 * How to extend Istio with Aeraki to manage the traffic of proprietary protocols 
 * Deep dive into Aeraki and MetaProtcol Proxy 
 * How Tencent Music leverage Istio and Aeraki to build a fully functional service mesh, managing both the HTTP and proprietary protocols 
 
 本场分享将介绍腾讯音乐使用 Istio + Aeraki 的服务网格落地实践，主要包含下述内容：
 * 如何利用 Aeraki 来扩展 Istio 的协议扩展能力
 * Aeraki 和 MetaProtocol Proxy 的原理介绍
 * 腾讯音乐如何使用 Istio + Aeraki 来构建一个管理 HTTP 和私有协议的全功能服务网格
 
References:
 - Aeraki: https://aeraki.net  
 - Github: https://github.com/aeraki-mesh 
 - Tencent Music: https://www.tencentmusic.com","Huabing Zhao, ChengQiang Wang","1892791a-a1af-4fe9-b7c8-ee89de2c76c3, d5e4cace-6077-4dc6-805c-a6babd64236b",322912,Apr-25 20:20,35,2022-04-26T03:20:00.000Z,2022-04-26T03:55:00.000Z,Presentation,"Tools, features & functionality",Chinese,/sessions/tencent-music-aeraki,28 Mar 2022 3:54 AM,28 Mar 2022 8:51 AM,,
b5,Flexible proxy configuration of service mesh under diverse workloads,flexible-proxy-configuration,"As the scale of the cluster managed by the service mesh grows and the needs of diverse business scenarios, the proxy configuration corresponding to each different workload will also be different. Although global configuration and Pod Annotation configuration can complete diversified settings, when the number of Pods increases, it becomes more difficult for user to manage the proxy configuration.
 
In this topic, we propose a global, namespace-level, and workload-level approach to managing proxy configuration, compatible with Pod Annotation. In Alibaba Cloud Service Mesh ASM, starting from v1.10, you can manage namespace-level proxy configuration in a declarative way, such as setting sidecar proxy life cycle, resource limit, and so on. istio introduced ProxyConfig from v1.13, which is similar to the above solution, and we will integrate the two in the future.","阳 刘, Lan Zhang","0022e65b-4150-43fc-96e3-34d7afd44668, 0481bb4e-aad4-4220-b3d3-884b27b1f0a3",323469,Apr-25 21:00,35,2022-04-26T04:00:00.000Z,2022-04-26T04:35:00.000Z,Presentation,Infrastructure & networking,Chinese,/sessions/flexible-proxy-configuration,28 Mar 2022 3:54 AM,30 Mar 2022 6:20 AM,,
b6,Use eBPF instead of iptables to accelerate the Istio dataplane（使用 eBPF 代替 iptables 加速 Istio 数据平面）,ebpf-iptables,Replacing iptables rules with eBPF to allow data being transported directly from inbound sockets to outbound sockets to shorten the datapath between sidecars and services.,Kebe Liu,26415447-f9a1-4909-a6df-6695199e792f,322559,Apr-25 21:40,35,2022-04-26T04:40:00.000Z,2022-04-26T05:15:00.000Z,Presentation,Infrastructure & networking,Chinese,/sessions/ebpf-iptables,28 Mar 2022 3:54 AM,28 Mar 2022 4:04 AM,,
b7,Deep Dive TCP/IP Bypass with eBPF in Service Mesh,tcpip-bypass-ebpf,"We have presented the basic idea of TCP/IP Bypass solution in IstioCon and IstioMeetup, currently we have our source code and image published. This topic is going to share the suitable scenarios, the performance data generated by different benchmarks and corresponding analysis, debug tools and the challenges of current solution.",Luyao Zhong,86c7978d-c2f7-4f86-b794-8b19c61835d3,324229,Apr-25 22:20,10,2022-04-26T05:20:00.000Z,2022-04-26T05:30:00.000Z,Lightning talk,"Tools, features & functionality",Chinese,/sessions/tcpip-bypass-ebpf,28 Mar 2022 3:48 AM,28 Mar 2022 4:19 AM,,
c1a,Istio usage in 5G Core CNFs,istio-usage-5g,"In this talk we will discuss how Ericsson is using istio in its modernised 5G Cloud platform to onboard various Cloud Native Functions seamlessly and how our cloud native infrastructure evolution using istio is solving some of the problems in the areas of security, observability and traffic management. Integration of istio in an end to end 5G platform has come with its own challenges, and we would like to highlight the various conscious choices we had to opt in terms of tenant isolation, onboarding of legacy workloads, enhancing security, dual-stack enablement etc. We will use this as an opportunity to bring more insight to how to build a fast and secure cloud native platform for 5G applications, and also to raise more awareness in the community for enhancing istio for telco use-cases. This session will give an overview of how Ericsson’s istio journey has evolved over the years, and how istio can be leveraged for realising the needs of 5G cloud native platforms.","Faseela Kundattil, Ingo Meirick","9235a799-bc39-4014-9d4b-7f47c6b1aac5, 6f55c6ec-2606-4084-a061-7faf00d29278",322780,Apr-26 8:00,35,2022-04-26T15:00:00.000Z,2022-04-26T15:35:00.000Z,Presentation,Use case,English,/sessions/istio-usage-5g,25 Mar 2022 9:35 PM,26 Mar 2022 11:57 AM,,
c1c,What to expect when you install multiple Istio revisions in different namespaces?,multiple-istio-revisions,"Installing multiple Istio control plane revisions in different namespaces might be your first instinct to ensure better hygiene in production but you can run into unexpected challenges in doing so.
 
In this lightning talk, Neeraj will explore some of the hidden land mines that you might run into with this setup and how to best install and manage multiple Istio revisions safely in production.",Neeraj Poddar,58fcc9c2-b3cd-444c-a3be-fae689ff4a98,324450,Apr-26 8:45,10,2022-04-26T15:45:00.000Z,2022-04-26T15:55:00.000Z,Lightning talk,"Tools, features & functionality",English,/sessions/multiple-istio-revisions,25 Mar 2022 9:40 PM,No,,
c2,How I upgraded 3000 proxies in my sleep - and you can too!,upgrade-proxies,"Keeping Istio up to date can be quite a chore. With monthly patch releases and quarterly minor releases, many users fall behind on upgrades, exposing their traffic to known CVEs and bugs. Upgrades can feel risky and unpredictable, with gateways acting as a single point of failure, and proxies upgrading unexpectedly. 
 
This talk will cover lessons learned at Google, where we have performed 1700 control plane upgrades and 3000 data plane upgrades on behalf of our users in the last year. We will explore the patterns and practices employed to keep users up to date, and show how open source users can take advantage of these principles as well. We will demonstrate using OSS tooling and gitops to handle upgrading an entire service mesh across a minor release with only two (automatically generated) pull requests.",Mitch Connors,b1dfe0f0-7ffc-4dac-9169-e1d624dd2bc3,324425,Apr-26 9:00,35,2022-04-26T16:00:00.000Z,2022-04-26T16:35:00.000Z,Presentation,Tech evolution & what's next,English,/sessions/upgrade-proxies,25 Mar 2022 9:35 PM,No,,
c3,"Gatekeeper + Istio, FTW",gatekeeper-istio,"This session will demonstrate how Gatekeeper policies could help you make sure your Kubernetes cluster and your Istio mesh are secure and compliant with common and your own best practices. We'll see in action how to guarantee that the deployed resources like Namespace, Service, AuthorizationPolicy, Sidecar, etc. are properly written. And because shifting left security guardrails is important, we'll also illustrate how you could catch such policy violations in your Continuous Integration (CI) system, before actually applying these resources in your Kubernetes clusters.","Mathieu Benoit, Ernest Wong","cf466e5d-80a3-46dd-96dc-63050e581982, 4081658c-9c36-49b2-a527-9f7052b303dc",324750,Apr-26 9:40,35,2022-04-26T16:40:00.000Z,2022-04-26T17:15:00.000Z,Presentation,"Tools, features & functionality",English,/sessions/gatekeeper-istio,25 Mar 2022 9:35 PM,25 Mar 2022 9:58 PM,,
c4,Service Mesh Security Best Practices - From Implementation to Verification,security-best-practices,"In this session, we will start with an overview of service mesh security best practices, discussing the various aspects of security that must be considered when securing services with a mesh. Since the components of the mesh are also part of the environment, we will discuss methods to ensure the mesh itself is secure. Ultimately, we will zoom in on one aspect, considering the entire lifecycle of authoring, implementing, monitoring, and validating security policies at scale.","Anthony Roman, Lei Tang","94ab234e-bf9e-47b1-892a-69703b2d301c, b8f149c9-7978-4410-ad67-d6463145569a",325452,Apr-26 10:20,35,2022-04-26T17:20:00.000Z,2022-04-26T17:55:00.000Z,Presentation,"Tools, features & functionality",English,/sessions/security-best-practices,25 Mar 2022 9:35 PM,31 Mar 2022 2:25 PM,,
cw,Hands-on practices for Controlling Kubernetes Native Apps with Service Mesh,controlling-kubernetes,"With the acceleration of Kubernetes adoption to shift a ton of business applications, IT Ops/SREs get higher dissatisfaction and lower retention due to unplanned downtime of the cluster as well as the application. Developers/Architects have concerns about increased unplanned downtime due to hard-to-diagnose bugs as well as ""Big bang"" rolling out of updates to applications can be risky due to unforeseen issues.
 
This hands-on lab will showcase how the Istio Service Mesh allows developers and IT staff to gain a deep understanding of their Kubernetes native applications based on Quarkus and Spring Boot, and how to take an existing application and form a service mesh around its services to obtain such understanding. Developers will also learn how to use the service mesh to provide powerful visualization and control over their distributed Kubernetes native applications.",Daniel Oh,4b82436a-947c-45bb-9d5d-3b94c02c8faa,317424,Apr-26 11:00,150,2022-04-26T18:00:00.000Z,2022-04-26T20:30:00.000Z,Workshop,Getting started,English,/sessions/controlling-kubernetes,,,,
c5a,A beginner’s guide to following Istio’s security best practices,following-security-best-practices,Following the Istio Security Best Practices page is a daunting task for newcomers to Istio. Even experienced operators have difficulty discerning where to begin. In this talk I will present an easy way for beginners to adopt Istio and settings/configuration based on my years of experience setting up and deploying Istio. Attendees will gain peace of mind knowing they can implement Istio securely according to established best practices.,Jacob Delgado,2878f95c-dd21-456c-bf12-4435c553279f,324499,Apr-26 11:30,10,2022-04-26T18:30:00.000Z,2022-04-26T18:40:00.000Z,Lightning talk,Getting started,English,/sessions/following-security-best-practices,25 Mar 2022 9:40 PM,25 Mar 2022 10:51 PM,,
c5b,Istio-redirector: the way to go to manage thousands of HTTP redirections,istio-redirector,"Let your SEO managers handles HTTP redirections at scale on your mesh. 
 
istio-redirector is an open-sourced service built at BlaBlaCar to let our SEO specialist manages HTTP redirections during our SOA migrations.
 
More than 20k redirections are now managed by our product team. Istio offers a great way to handle redirections at scale, in a distributed and cloud agnostic way.",Etienne Fontaine,c52cca12-0e8b-42f5-bc10-c6c7b7136ed2,316119,Apr-26 11:40,10,2022-04-26T18:40:00.000Z,2022-04-26T18:50:00.000Z,Lightning talk,"Tools, features & functionality",English,/sessions/istio-redirector,25 Mar 2022 9:40 PM,26 Mar 2022 2:05 PM,,
c5c,Improving Rate Limit Experience for Developers in Istio,improving-rate-limit-experience,"Managing Rate limit configuration in Istio is a tedious task since currently, we are setting up the EnvoyFilter object to configure the rate limit function.
 
There are some drawbacks with this approach, developers need to understand very complex configurations within EnvoyFilter. Maintenance also becomes a problem because every time the infrastructure team wants to upgrade the mesh, Developers need to check if the rate limit configuration is working on the newer version of the mesh.  

In GoPay, we are trying to improve the experience for developers to apply rate-limiting functions to their services. This is archived via Kubernetes operator that helps us abstract the details from developers.",Zufar Dhiyaulhaq,3ea1a019-3416-4502-becb-f343ee96be2a,323224,Apr-26 11:50,10,2022-04-26T18:50:00.000Z,2022-04-26T19:00:00.000Z,Lightning talk,"Tools, features & functionality",English,/sessions/improving-rate-limit-experience,25 Mar 2022 9:40 PM,25 Mar 2022 9:50 PM,,
c5d,Apache APISIX from Gateway to Full Traffic Proxy with Istio,apache-apisix,Apache APISIX is the world's most active open source cloud-native high-performance gateway. In this session I will share how Apache APISIX works with Istio to evolve from a north-south gateway to a full-traffic proxy.,Jintao Zhang,2d9aa720-d192-44c9-87e6-a1a2f0c53d35,323544,Apr-26 12:00,10,2022-04-26T19:00:00.000Z,2022-04-26T19:10:00.000Z,Lightning talk,"Tools, features & functionality",English,/sessions/apache-apisix,31 Mar 2022 5:52 AM,31 Mar 2022 3:45 PM,,
c6,Building simplified service mesh API for developers,building-simplified-service-mesh-api-for-developers,"One of the key goals of service mesh is to decouple developers and operators so that developers can continue to focus on writing code for their services, while operators adds security, resilience, and policies to these services they manage. In the Istio community over the past few years, we have observed that customers such as AirBnb, Salesforce, eBay etc building out abstractions over Istio for their developers. This talk will introduce these abstractions, compare them, along with the thought process behind the service mesh API for developers built at Solo and AirBnb.","Lin Sun, Ying Zhu","615aa5ad-a025-4800-91eb-a8997a2fa446, 1db29f1e-0bec-4c42-a278-3b2792cb7bb7",323952,Apr-26 12:10,35,2022-04-26T19:10:00.000Z,2022-04-26T19:45:00.000Z,Presentation,Tech evolution & what's next,English,/sessions/building-simplified-service-mesh-api-for-developers,25 Mar 2022 9:35 PM,26 Mar 2022 7:26 PM,,
c7,Auth Patterns: What to Use and When,auth-patterns,"One of the great things about Istio is that it provides a solid mechanism for service to service auth within a mesh using mTLS and AuthorizationPolicy

But what if the thing accessing your services is not in the mesh. What if it’s a person and not a process? What if it’s a customer instead of an employee in your organization?

Suddenly, the options and tools to fulfill them become overwhelming. Let’s break down our patterns and tools to determine which to use and when.",Aaron Teague,2e025066-c1b3-41dc-a010-c180ae44f933,324930,Apr-26 12:50,35,2022-04-26T19:50:00.000Z,2022-04-26T20:25:00.000Z,Presentation,"Tools, features & functionality",English,/sessions/auth-patterns,25 Mar 2022 9:35 PM,26 Mar 2022 6:37 PM,,
d2,Understanding the new Istio Telemetry API,understanding-the-new-istio-telemetry-api,"We have introduced the new Telemetry API in v1.11 which provides a flexible and uniform way for configuring how telemetry is generated in the mesh. Since the initial release, we have made continuous improvements in functionality by adding support for various telemetry types and expanding to more providers. In this session, we will go over the motivations and use cases that drove the design of the new API and deep dive into the following aspects:
 
 * Inheritance and override semantics.
 * Provider selection and enabling multiple providers for any telemetry type. 
 * How to easily add dimensions in Prometheus metrics, provide tracing configuration and filtering access logging at various scopes from mesh wide to a specific workload.","Neeraj Poddar, Douglas Reid","58fcc9c2-b3cd-444c-a3be-fae689ff4a98, dae066c2-669a-4974-9dc2-3b0de6e88c00",324444,Apr-27 9:00,35,2022-04-27T16:00:00.000Z,2022-04-27T16:35:00.000Z,Presentation,"Tools, features & functionality",English,/sessions/understanding-the-new-istio-telemetry-api,25 Mar 2022 9:35 PM,No,,
d3,On-demand Developer Environments in Mesh based Infrastructure,on-demand-developer-environments,"In a micro-service architecture - development and testing changes, in a service or set of services involved in a feature, without affecting stability of shared environments like staging, pre-prod, etc. is challenging. 
 
We are excited to share an approach to tackle it by spinning up a developer/feature environment on demand, which only contains a subset of services that have code changes. Traffic to other services and datastores, which are not in the developer environment, is routed to a shared environment. This whole setup is orchestrated by Istio service mesh. With this, we can have multiple developer environments running in-parallel sharing the same shared environment - enabling the developer and/or feature development team to have an isolated environment to test out the code changes and rollout with confidence.  
 
This has been adopted across our organisation, improving the developer productivity & experience along with stability of shared environments while keeping costs in check.","Rajath Ramesh, Edward Samuel Pasaribu","6ad1f82a-da57-4656-8758-1dde0fc3b6ec, 56a823a1-544e-4282-bebc-8a1614b23d25",315599,Apr-27 9:40,35,2022-04-27T16:40:00.000Z,2022-04-27T17:15:00.000Z,Presentation,"Tools, features & functionality",English,/sessions/on-demand-developer-environments,25 Mar 2022 9:35 PM,27 Mar 2022 8:12 AM,,
d4,Sidecarless with eBPF or sidecar with Envoy proxy?,sidecarless-ebpf-envoy,"eBPF and service mesh both optimize the functionality around networking, observability, and security. Are they competing? Or complementary to each other? To what extent can eBPF play a role in a service mesh? How does the role of the service proxy change? In this talk, we will dig into the role of eBPF for a service mesh data plane and what are some of the tradeoffs in terms of features, resource overhead, feature isolation, security granularity and upgrade impact for various data-plane architectures: shared proxy vs shared proxy per node vs sidecar proxy vs shared proxy per service account etc.",Idit Levine,97b455b3-7182-47aa-8e4e-694b035568de,325457,Apr-27 10:20,35,2022-04-27T17:20:00.000Z,2022-04-27T17:55:00.000Z,Presentation,Tech evolution & what's next,English,/sessions/sidecarless-ebpf-envoy,25 Mar 2022 9:35 PM,26 Mar 2022 7:24 PM,,
