slot,title,slug,content,speakers,Speaker Id,Session id,Start time (PST),Duration,time_start,time_end,type,track,language,url,Informed,Confirmed,Tech check,Rec status
d5a,How WP Engine uses Istio to Accelerate Building Products,how-wp-engine-uses-istio,"WP Engine has adopted Istio as a core technology for its internal microservices platform over the past 2 years, enabling internal engineers to ship products and features quickly and reliably. The platform has a multi-tenant architecture and uses various technologies such as containerized builds, GitOps deployments, and automated policy enforcement all in conjunction with Istio to meet our business and technical goals.
 
The decision to implement an internal platform with Istio has revolutionized the way WP Engine ships software by minimizing the common cross-cutting concerns engineers have to consider in building their applications. Implementing this platform has improved consistency between services, reduced operational overhead across the organization, and enhanced the security and observability of our runtime environments. 

In this talk, we’ll discuss WP Engine’s journey building a platform with Istio and how its benefits are moving our business forward.",Rahul Dhir,55059019-4eb7-4f94-b045-68fd0a2db253,325119,Apr-27 11:30,10,2022-04-27T18:30:00.000Z,2022-04-27T18:40:00.000Z,Lightning talk,Use case,English,/sessions/how-wp-engine-uses-istio,25 Mar 2022 9:40 PM,28 Mar 2022 7:13 PM,,
d5b,TLS Origination Best Practices,tls-origination-best-practices,Quick dive for beginners on TLS origination to improve security. This talk will focus on settings that may not be expected for new users with a focus on validating settings. I will touch on what settings Istio uses by default and how to configure Destination Rules to correctly check certificates.,Kenan O'Neal,6a174be7-cf86-4e3d-8ef3-dfae3facf665,324469,Apr-27 11:40,10,2022-04-27T18:40:00.000Z,2022-04-27T18:50:00.000Z,Lightning talk,Getting started,English,/sessions/tls-origination-best-practices,25 Mar 2022 9:40 PM,28 Mar 2022 8:49 PM,,
d5c,Automate Istio Best security practice,automate-istio-best-security-practice,"Istio offers best security practice in its own blog. In this talk, we will show how a tool can make configuration scanning, offering suggestion to enhance the your configuration security. We believe such config analysis tool can make the best practice easier to consume and adopt for Istio users.",Jianfei Hu,fd6e1eb7-8278-4289-9717-609b92e5e3cd,324228,Apr-27 11:50,10,2022-04-27T18:50:00.000Z,2022-04-27T19:00:00.000Z,Lightning talk,"Tools, features & functionality",English,/sessions/automate-istio-best-security-practice,25 Mar 2022 9:40 PM,No,,
d5d,Testing Istio’s Virtual Machine integration locally with Calico,testing-vm-integration-calico,"Istio provides native Virtual Machine integration for legacy applications which requires IP connectivity to the East/West gateway deployed in the mesh, and optionally connectivity to the pod networking for enhanced performance.
 
 In production deployments, the communication between Kubernetes nodes and non-Kubernetes nodes are often handled with sophisticated techniques like VPC or VPN, but on a developer machine your Kubernetes nodes may be running in a simulated environment such as minikube, k3s or kind. It can be tricky to test this locally on a developer setup. How can you test calls from a Kubernetes service locally to and from a service on a VM without using LoadBalancer type Kubernetes services - using only Cluster-IP or Pod-IP? 
 
 In this session, I will talk about challenges you may face in a developer setup and how using the Calico Networking Plugin enables you to develop VM integrated meshes without LoadBalancer services in both single network and multi network environments.",Nina Polshakova,4176655a-6ffb-459f-b2ce-0ea9cd6fdd9a,324122,Apr-27 12:00,10,2022-04-27T19:00:00.000Z,2022-04-27T19:10:00.000Z,Lightning talk,"Tools, features & functionality",English,/sessions/testing-vm-integration-calico,25 Mar 2022 9:40 PM,26 Mar 2022 9:21 PM,,
d6,API runtime Orchestration with Istio and OpenAPI 3,api-runtime-orchestration-openapi,"API-as-a-Product is an emerging concept in software development. Open API 3 enables faster and collaborative API development and its custom extensions can be leveraged to augment API contracts with additional functionality. Here at Intuit we built a system that uses Open API spec, Istio Service Mesh and other extensions to generate capability/orchestration APIs and dynamically generate the runtime for them. It includes K8s resource manifests and Istio VirtualServices for routing rules to enable faster API delivery. This runtime supports API patterns like aggregation, transformation and proxy and can be used uniformly across both north-south (via API Gateway on Mesh) and east-west traffic. Such an API orchestration runtime will allow you to create and present new and elegant APIs on top of existing APIs while adhering to industry best practices. Come and learn how Intuit’s API Management Platform team built a low code / no code runtime solution for API orchestration using Istio.","Anil Attuluri, Siva Thiru","182b18ff-5079-4903-b318-b2a79ebea227, 3bbdabfa-8dae-4832-b865-ecf2b4c307d3",324217,Apr-27 12:10,35,2022-04-27T19:10:00.000Z,2022-04-27T19:45:00.000Z,Presentation,Tech evolution & what's next,English,/sessions/api-runtime-orchestration-openapi,25 Mar 2022 9:35 PM,25 Mar 2022 11:59 PM,,
d7,Virtualizing the Istio Sidecar,virtualizing-istio-sidecar,"Istio derives a bulk of its power from Envoy proxy which gets deployed as a sidecar to a running application. However, sidecar deployments are not the only way to achieve service-mesh capabilities. In this talk we discuss the work we've been doing to ""virtualize"" the Istio sidecar for our users by giving options for sidecar, service-account, shared-node, and even remote proxies and micro proxies.",Christian Posta,6e160707-beeb-4abc-97de-23d6f2c84056,324414,Apr-27 12:50,35,2022-04-27T19:50:00.000Z,2022-04-27T20:25:00.000Z,Presentation,Tech evolution & what's next,English,/sessions/virtualizing-istio-sidecar,25 Mar 2022 9:35 PM,No,,
e2,Our Way Improving Service Mesh Scalability,our-way-improving-service-mesh-scalability,"In this session Zhonghu and Leng Xue will share how their they improved istio scalability to 10 Million sidecars. They introduced an intelligent way to make istio aware of service connectivity, so istio and envoy can achieve lazy xds pushing, which saves more than 99% memory cost of sidecars. This solution is quite different from others and is more efficient and light-weighted, they have made it production-ready in Huawei Application Service Mesh.  
 
In the meantime, they will share recent performance optimizing works on istio control plane, including xds cache, delta xds, on-demand xds, etc.   
 
At last, they will shed light on the future service mesh evolution in terms of scalability and performance. Ideally, the mesh control plane will be more light-weighted. With ebpf, the datapath will be shorter, but they thinks it is not enough, shared proxy or proxyless can be a good direction.","Zhonghu Xu, xue leng","cdf5e752-a613-4e67-bd52-4acc6c4b6c63, 32c4a78b-19ff-4acb-a4db-8a14e0304cd7",323980,Apr-27 19:00,35,2022-04-28T02:00:00.000Z,2022-04-28T02:35:00.000Z,Presentation,Infrastructure & networking,Chinese,/sessions/our-way-improving-service-mesh-scalability,28 Mar 2022 3:54 AM,29 Mar 2022 7:17 AM,,
e3,istio推送的性能优化经验,istio推送的性能优化经验,"介绍istio中的服务/配置数据流转和推送的流程，分析该过程中的性能点和可能的性能瓶颈。
 
 结合实际生产落地中的各场景，尤其是大规模服务数据/接入负载场景 遇到的性能问题来讲解解决思路，分享相关优化经验。",Yonka Fang,f88f73fd-96ce-477a-bb2b-78b9ff2ccba7,324389,Apr-27 19:40,35,2022-04-28T02:40:00.000Z,2022-04-28T03:15:00.000Z,Presentation,Infrastructure & networking,Chinese,/sessions/istio推送的性能优化经验,28 Mar 2022 3:54 AM,29 Mar 2022 4:08 PM,,
e4,"Istio multi-cluster traffic management speed up automobile company new business dev,deploy and ops",istio-multi-cluster-traffic-management,"SMART, a brand to fully transform from fuel vehicles to electric vehicles, is committed to exploring the best solutions for future urban transportation. On its IT infrastructure, cloud-native technologies such as Kubernetes and service mesh help simplify the technology stack, accelerate business innovation, and greatly improve the efficiency of new business development, deployment, operation and maintenance.
 
 In this meeting, Kexing and Chaomeng will share their multi-cluster practice in production environment. That is how Istio provides distributed traffic management across 10+ clusters in SMART’s production and testing environments. It includes performing canary release by deploying and splitting traffic of new version in different clusters, providing high availability by failover east-west traffic between instances of different clusters, unified authentication and authorization security management, unified topology view and distributed tracing across clusters, etc.",chaomeng zhang,00836583-9040-4704-be66-c8cf95fc0bdd,324372,Apr-27 20:20,35,2022-04-28T03:20:00.000Z,2022-04-28T03:55:00.000Z,Presentation,Infrastructure & networking,Chinese,/sessions/istio-multi-cluster-traffic-management,28 Mar 2022 3:54 AM,28 Mar 2022 5:39 AM,,
e5,基于istio构建超大规模kubernetes集群的稳定性底盘,基于istio构建超大规模kubernetes集群的稳定性底盘,"背景
 
 蚂蚁集团运行着全球最大的 kubernetes集群之一。kubernetes 社区官方以 5K node 作为 kubernetes 规模化的事实标准，而蚂蚁集团在 2019 年的时候，就已经维护着单集群规模超过 10K node 的 kubernetes 集群，现如今规模更是远超10K，集群数量也持续增长；
 
 蚂蚁集群采用KOK（Kubernetes On Kubernetes）的方式来管理内部的众多集群。
 
 
 面临的问题
 
 集群数量多，单集群规模大，这给日常运维和稳定性保障带来了很大的挑战：
 
 1. apiserver流量均衡的问题，http2的连接复用导致实例间流量差别巨大，
 2. webhook/controller无法做到精细化的灰度发布；
 3. 原生k8s无体系化的精细限流能力，导致apiserver很容易被流量打死； 
 4. apiserver/webhook等组件的发布无损问题；
 5. 缺乏全链路追踪能力；
 
 
 我们的方案
 
 为体系化解决以上问题，我们引入了Istio。
 
 在KOK架构中，增加了ServiceMesh层来管理管控组件（apiserver/webhook/controller）之间的流量；
 
 调整之后，架构就变成了kubernetes on Istio on Kubernetes，简称KOI架构（kubernetes On Istio）；

 
 本次分享的内容
 
  1. 蚂蚁当前情况介绍，包括k8s集群的规模、当前的KOK架构及面临的问题；
  2. 蚂蚁KOI架构详细介绍； 如何利用istio来有效提升k8s管控面的稳定性、优化系统架构、提升流量调度能力及增强链路的安全性； istio落地中碰到的问题：主要包括envoy参数的调优、http2 flood check问题、k8s认证的适配等； 
  3. 通过落地istio拿到的收益；主要包括： kubernetes webhook/apiserver/controller的精细化灰度能力，支持namespace粒度；apiserver/webhook的流量均衡及无损发布能力；kubernetes大版本的无损升级能力；基于真实流量镜像实现了etcd新版本的测试仿真； 关键链路（ingress/apiserver/webhook/etcd）的全链路追踪能力；
  4. 后续计划和展望；",远科 韦,86d4044a-acbb-4ae5-b915-0c14ae547a79,324317,Apr-27 21:00,35,2022-04-28T04:00:00.000Z,2022-04-28T04:35:00.000Z,Presentation,"Tools, features & functionality",Chinese,/sessions/基于istio构建超大规模kubernetes集群的稳定性底盘,28 Mar 2022 3:54 AM,29 Mar 2022 11:03 AM,,
e6,Introducing TLS Bumping for Integrating SASE functions with Service Mesh,introducing-tls-bumping,"Enterprise would like to apply SASE functions to their Service Mesh cluster. TLS bumping is fundamental because SASE functions need to inspect the encrypted content of the traffic. TLS bumping provides functionalities for certificates auto-generation and management in Service Mesh, which avoids certificates pre-generation and update from control plane. In this topic we will present TLS bumping concepts and how to integrate Service Mesh with SASE functions.","Lei A Zhang, Luyao Zhong","da570fca-f6a0-48a8-8b2b-ebd7de83bfee, 86c7978d-c2f7-4f86-b794-8b19c61835d3",324536,Apr-27 21:40,35,2022-04-28T04:40:00.000Z,2022-04-28T05:15:00.000Z,Presentation,"Tools, features & functionality",Chinese,/sessions/introducing-tls-bumping,28 Mar 2022 3:54 AM,28 Mar 2022 5:19 AM,,
f1a,Istio at Splunk: How we learned to love it.,istio-at-splunk,"Splunk is heavily using Istio for the last 3 years, using it as our baseline for network ingress, policy and authentication.

This session will explore how we manage, install and operationalize istio at scale on more than 40 clusters across multiple regions and providers. We will describe in detail our journey, including the trade-offs that were taken into account before jumping into Istio as well as the lessons learned over time. We will also go into details on how our internal users are using Istio and how we support them.",Bernard Van De Walle,60c047af-a6a5-45bf-8c02-94045cfe620d,324537,Apr-28 8:00,35,2022-04-28T15:00:00.000Z,2022-04-28T15:35:00.000Z,Presentation,Use case,English,/sessions/istio-at-splunk,25 Mar 2022 9:35 PM,26 Mar 2022 1:51 AM,,
f1c,Accelerating ZOZOTOWN Modernization with Istio,accelerating-zozotown-modernization,"ZOZOTOWN was launched in Dec 2004 and currently is one of the biggest fashion E-commerce company in Japan run by ZOZO (https://corp.zozo.com/en/). It was implimented as monoliths, and became a big fat monolith application built upon onprem as it grew. In last 3 years they have worked on ZOZOTOWN modernization project that they call 'ZOZOTOWN replace' where they achived gradual migration to kubernetes-based microservice architecture and adopted istio / service mesh as a key enabler for our new ZOZOTOWN platform. Topics covered in the presentation will include:
 
 - ZOZO's gradual migration storategy
 - How they integrated Isito into their microservice platform where they had their existing in-house API Gateway
 - How they achieved zero downtime migration to istio-based microservice architecture
 - Further Istio usage at ZOZO to achive more sophisticated DevOps experience",Yoichi Kawasaki,42c366db-aab7-4312-b4bb-16bcbdf41f43,324550,Apr-28 8:45,10,2022-04-28T15:45:00.000Z,2022-04-28T15:55:00.000Z,Lightning talk,Use case,English,/sessions/accelerating-zozotown-modernization,25 Mar 2022 9:40 PM,26 Mar 2022 5:36 AM,,
f2,Scaling to 1M RPS with multi cluster Istio,scaling-to-1m-rps-with-multi-cluster-istio,"Scaling systems to handle high throughput is an art and a journey fraught with several hurdles and blockers. We shall demonstrate how every little configuration can cause a huge impact at very high RPS, how we managed to beat 500K RPS with minimum latency and how we geared the system to be capable of handling upto 1M RPS. We shall show using the example deployment topology of Istio Service Mesh, how we addressed the issues of connection handling, load balancing shortcomings, cross cluster pitfalls, side effects of HPA, uneven resource utilization, etc.and achieved a smooth response graph at very high throughputs.","Devarajan Ramaswamy, Nizam Uddin","516b2b08-cdd5-4cdc-86f7-44e71529c066, d554610d-ceba-42b7-9db6-1429401d2549",324377,Apr-28 9:00,35,2022-04-28T16:00:00.000Z,2022-04-28T16:35:00.000Z,Presentation,Infrastructure & networking,English,/sessions/scaling-to-1m-rps-with-multi-cluster-istio,25 Mar 2022 9:35 PM,30 Mar 2022 7:48 AM,,
f3,Gateway API Status Update,gateway-api-status-update,"In this talk, we will discuss the status of adoption of The [Gateway API](http://gateway-api.org/) within Istio.

Topics will include: 
 * Gateway auto provisioning
 * Using Gateway API for mesh
 * Gateway API path to beta and future plans
 * Using Gateway API to integrate with cloud load balancers",John Howard,4ab2f035-29b6-4b2d-b9a3-4cbb68f8be34,323933,Apr-28 9:40,35,2022-04-28T16:40:00.000Z,2022-04-28T17:15:00.000Z,Presentation,Infrastructure & networking,English,/sessions/gateway-api-status-update,25 Mar 2022 9:35 PM,28 Mar 2022 4:19 PM,,
f4,API Gateway on Service Mesh - Complete Zero Trust,api-gateway-on-service-mesh,"Securing services behind a Gateway (also called API Gateway) is a common pattern in the industry. With proliferation of microservices architecture and increased communication between them it's natural for these services to be on Service Mesh. By moving the API Gateway to Service Mesh, microservices that have external clients can continue to take traffic from API Gateway while converging their ingress onto a single path over Istio Service Mesh. At Intuit, this approach resulted in a complete zero trust model architecture and greatly simplified the networking and traffic management for the applications. It also helped accelerate their journey to Service Mesh. This was made possible with Istio’s Sidecar tls termination implementation which provides a way for regular TLS termination on Service mesh sidecar. In this talk Shriram and Anil will elucidate the pattern used, the Istio feature implementation and their journey to make API Gateway part of the Service Mesh.","Anil Attuluri, Shriram Sharma","182b18ff-5079-4903-b318-b2a79ebea227, c5593707-b129-438e-a8a8-047f8b90e19a",324144,Apr-28 10:20,35,2022-04-28T17:20:00.000Z,2022-04-28T17:55:00.000Z,Presentation,Infrastructure & networking,English,/sessions/api-gateway-on-service-mesh,25 Mar 2022 9:35 PM,25 Mar 2022 11:58 PM,,
fw,Multi-tenant Istio Service Mesh with Gloo Mesh,multi-tenant-istio-service-mesh-with-gloo-mesh,"Service mesh has emerged to solve the service-to-service communication challenges of microservices while presenting new opportunities for network traffic control, security, and observability.
 
Istio, the most popular service mesh technology, can also be used to secure cross cluster communication, but managing multiple Istio clusters can quickly become tedious, and raises new questions such as:
 - How should I deploy and manage the lifecycle of multiple Istio clusters?
 - Can my service meshes span across on-prem and cloud?
 - How can I allow multiple teams to share the same service meshes?
 - How can I set up global observability?
 - In this hands-on workshop, we will explore many Istio concepts (multi-cluster topologies, identity federation, authorization, and more) and demonstrate how Gloo Mesh can simplify the management of a complex heterogeneous service mesh with a particular focus on multi-tenancy.",Adam Sayah,bb0fa44c-60ce-4853-8b00-72d154190c85,324121,Apr-28 11:00,150,2022-04-28T18:00:00.000Z,2022-04-28T20:30:00.000Z,Workshop,Infrastructure & networking,English,/sessions/multi-tenant-istio-service-mesh-with-gloo-mesh,,,,
f5a,"Perfectly (Load) Balanced, as all requests should be",perfectly-load-balanced,"Have you read about Load Balancing while onboarding to Istio, but never tried it out? Or maybe you just want to learn more about how Istio uses its Envoy sidecar proxies to support Load Balancing. This talk will discuss why we need Load Balancing, its benefits, and how you can stress test your service mesh so you don’t risk your own traffic. We’ll demo a simple multi-cluster setup of an online store sample app – Online Boutique – to showcase some Load Balancing capabilities. You will walk away with an understanding of Istio’s weighted least request load balancer.","Christine Kim, Nim Jayawardena","99ea404b-b6a0-4764-8602-dd2d037bfa56, 26530b70-2611-4c3a-b8b5-6de221e44cea",324787,Apr-28 11:30,10,2022-04-28T18:30:00.000Z,2022-04-28T18:40:00.000Z,Lightning talk,Getting started,English,/sessions/perfectly-load-balanced,25 Mar 2022 9:40 PM,28 Mar 2022 1:06 PM,,
f5b,Egress Woes: Debugging external service traffic in Istio,egress-woes,"You have successfully deployed Istio, there are sidecars injected in all your services and pods can talk to each other. Now it's time to start looking outside your service mesh and getting your pods talking to services outside of your cluster. It's time to introduce ServiceEntries. Defining traffic routing behavior in Istio for external services does not happen automatically. Users need to often create four separate CRD's to define external traffic routing behavior and that introduces four potential avenues for bugs to get introduced. This talk will cover common pitfalls in egress configurations and debugging techniques for when those calls to external databases start failing.",Gregory Hanson,199b9b7b-6c14-4fef-9160-97353326c0dd,325484,Apr-28 11:40,10,2022-04-28T18:40:00.000Z,2022-04-28T18:50:00.000Z,Lightning talk,Getting started,English,/sessions/egress-woes,25 Mar 2022 9:40 PM,28 Mar 2022 12:33 PM,,
f5c,Dual Stack Cluster Setup,dual-stack-cluster-setup,Dual Stack support is very limited in today’s cloud ecosystem. Learn how to run/test Istio on a Dual Stack cluster in AWS on both Openshift 4.8+ and KubeAdmin. OpenShift 4.7+ is one of the few options that officially supports Dual Stack mode for bare metal clusters and Azure. We are excited to share our experience and empower your team with another option for Dual Stack support.,Josh Tischer,0844cfa1-ec95-4432-b510-15c42dd814d9,324174,Apr-28 11:50,10,2022-04-28T18:50:00.000Z,2022-04-28T19:00:00.000Z,Lightning talk,Infrastructure & networking,English,/sessions/dual-stack-cluster-setup,25 Mar 2022 9:40 PM,25 Mar 2022 10:53 PM,,
f5d,"Gateway, gateway, or gateway?",gateway-gateway-gateway,"The Istio and Kubernetes landscapes are rife with jargon, and high on the list of overloaded terms is the word ""gateway"". This term has multiple specific meanings that are both distinct and related to each other. In this talk we will quickly run through the different uses of the word Gateway, what they mean, how they're related, and how to pick them out when you see them used in context.",Rob Salmond,4bc9fa40-127c-4457-bdf1-1d4b7c70c8e0,319011,Apr-28 12:00,10,2022-04-28T19:00:00.000Z,2022-04-28T19:10:00.000Z,Lightning talk,Getting started,English,/sessions/gateway-gateway-gateway,25 Mar 2022 9:40 PM,No,,
f6,Managed service mesh as a distributed cloud service,managed-service-mesh-as-a-distributed-cloud-service,"The external control plane deployment model in Istio enabled some new use cases for mesh management. The ownership and the management of the control plane may belong to a completely different entity, other than the end-user.
 
Leveraging this new model, a cloud vendor can create a cost effective, managed, multi-tenant mesh control plane, safely isolated from the mesh clusters. Behind the scene, the vendor can manage/scale/update the service with or without the user's intervention.
 
In this talk I will describe such a managed solution, focusing on the extra challenges that the basic Istio external control plane setup does not solve. 

Agenda: 
 * the generic problem of running kubernetes operators and webhook services remotely to the managed cluster
 * exposing control plane endpoints
 * the problem domain of metrics collection
 * how to hide/embed/manage and automate the control-plane parts from the user
 * how and why multi-tenant control plane can be safely operated",Gergő Huszty,f6aa8e0d-621a-4621-af59-5d5041623c29,324417,Apr-28 12:10,35,2022-04-28T19:10:00.000Z,2022-04-28T19:45:00.000Z,Presentation,Infrastructure & networking,English,/sessions/managed-service-mesh-as-a-distributed-cloud-service,31 Mar 2022 5:49 AM,31 Mar 2022 2:31 PM,,
f7,A Field Guide for Safe Istio Upgrades,a-field-guide-for-safe-istio-upgrades,"As a Field Engineer at Solo.io, the speaker helps organizations of all sizes install and upgrade Istio in production every day. What we already know is that there is no one-size-fits-all approach to perform upgrades. Enterprise platform owners and service owners maintain distinctive environments and Istio deployment models depending on their tenancy, security, and cost requirements. The varying risk tolerance for a potential downtime during an upgrade is another factor to consider. Developing a custom plan is often critical to address an organization's unique architecture and constraints.
 
In this session, the speaker will outline the various upgrade strategies, their advantages and disadvantages, the gotchas that you need to watch out for, and most importantly - some best practices you can apply from day 1 to ensure successful upgrades in the future.",Ram Vennam,9322b021-8898-4b31-bca8-70abb6028965,324119,Apr-28 12:50,35,2022-04-28T19:50:00.000Z,2022-04-28T20:25:00.000Z,Presentation,Infrastructure & networking,English,/sessions/a-field-guide-for-safe-istio-upgrades,25 Mar 2022 9:35 PM,30 Mar 2022 4:20 PM,,
g1a,Lessons Learned: Developing WASM filter for logging use-case,developing-wasm-filter-for-logging,"WebAssembly (WASM) filters enable users to extend Envoy functionality. In this talk, we will discuss Proxy-WASM, Go SDK, our experience writing a Go-based WASM filter, problems we encountered writing a WASM filter at Splunk and a way to build a singleton WASM filter.","Amey Bhide, Takeshi Yoneda","0f79c20a-5a3d-4e3f-b755-34e4f24fe022, ca33ca73-512f-414a-9efc-30e57cd3deeb",324505,Apr-29 8:00,35,2022-04-29T15:00:00.000Z,2022-04-29T15:35:00.000Z,Presentation,Infrastructure & networking,English,/sessions/developing-wasm-filter-for-logging,25 Mar 2022 9:35 PM,25 Mar 2022 11:34 PM,,
g1c,Getting started in the Istio Community,getting-started-in-the-istio-community,"Are you interested in contributing to Istio and wondering how to get started or would you like to learn more about our community? 
 
Istio is an open source project with a very diverse and active community of users, vendors and contributors. Since its launch in 2017, Istio has seen exponential growth and adoption, with more companies starting to use Istio in production. One of the key contributing factors to this growth is the great community of contributors who have been actively contributing to the project.   
 
There are many ways in which you can contribute to Istio. In this talk, we will go over how the Istio community is structured and the various roles and workgroups within the community. We will also go over how you can get started with contributing and grow within the community.",Mariam John,2a64715c-80c0-48f0-9bb0-e0958de3bd42,324538,Apr-29 8:45,10,2022-04-29T15:45:00.000Z,2022-04-29T15:55:00.000Z,Lightning talk,Getting started,English,/sessions/getting-started-in-the-istio-community,25 Mar 2022 9:40 PM,No,,
g2,Safeguard Istio Service Mesh via Confidential computing,safeguard-confidential-computing,"Security is a key feature for Isito service mesh. Service-to-service communication can be secured automatically without application code change. In the mesh edge side, the ingress and egress gateway can help you do TLS termination or origination as well. Private keys are important parts to fullfill all these functions and currently they are all exposed in clear text. This exposes rich attack surface for your service mesh. In this talk you will learn about confidential computing and how you can leverage it to improve the overall security level for Istio service mesh.","Iris Ding, Srinivasa Addepalli","bc736252-8a79-4d8d-aeef-733b280dd700, 6f8f6467-4a64-4f1c-8832-9c3b0f0b3dfc",324259,Apr-29 9:00,35,2022-04-29T16:00:00.000Z,2022-04-29T16:35:00.000Z,Presentation,Infrastructure & networking,English,/sessions/safeguard-confidential-computing,25 Mar 2022 9:40 PM,No,,
g3,Istio and Supply Chain Security,istio-and-supply-chain-security,"Over the last decade, the use of open source by organizations has increased drastically and is considered as a catalyst for innovation.However, opensource is seen as inherently insecure due to various reasons such as insecure development practices, lack of required infrastructure and awareness. The Cloud Native ecosystem is one of the exemplary communities which could make a great impact on improving the security posture of open source software while allowing organisations to consume open source in a fast, secure & sustainable manner. This talk will highlight a few ongoing initiatives across cloud native projects for standardised generation of Software Bill Of Materials, and how the same procedure was applied to Istio by adopting SPDX standard using K8s bom. We will also discuss how these security standards can help ease the consumption of the opensource code by organisations, and the importance and the necessity of cross collaboration and pollination between projects.","Faseela Kundattil, Adolfo García Veytia","9235a799-bc39-4014-9d4b-7f47c6b1aac5, f24bbabc-3191-4e09-8a2c-8fc6ced95aa6",318631,Apr-29 9:40,35,2022-04-29T16:40:00.000Z,2022-04-29T17:15:00.000Z,Presentation,"Tools, features & functionality",English,/sessions/istio-and-supply-chain-security,25 Mar 2022 9:35 PM,26 Mar 2022 11:58 AM,,
g4,"Join locally, learn globally",join-locally-learn-globally,"Did you ever want to better understand how Istio enables some of its features such as mTLS, route manipulation or multi-cluster communication? With the help of istioctl you can look at how Istio configures Envoy and use that information to build your own local istio-proxy. Learning how Istio configures Envoy is not only good for debugging, but also enables you do more complex routing like secure multi-cluster communication. In this session, Nick will explain how you can configure a local istio-proxy to connect securely to a cloud based service mesh all the while explaining concepts like PKI, mTLS, east/west routing, and request/response transformations.",Nick Nellis,683b61fc-4d91-4593-abfd-9308c957e06d,324093,Apr-29 10:20,35,2022-04-29T17:20:00.000Z,2022-04-29T17:55:00.000Z,Presentation,"Tools, features & functionality",English,/sessions/join-locally-learn-globally,31 Mar 2022 5:49 AM,31 Mar 2022 3:07 PM,,
g5,Customer Journey: Adopting Service Mesh at Scale in Production,adopting-service-mesh-at-scale-in-production,"The session will uncover in detail service mesh adoption at scale path within one of the largest retail organizations. Throughout the presentation, we will reveal the technical adoption path from the architectural challenges and decisions to the actual implementation goals and results. As part of the technology stack, we will describe service mesh integration challenges and lessons learned. The goal of the session is to share obtained experiences and help others on a Service Mesh path towards great results!",Sergey Marunich,b61760ca-d026-44ba-af61-20431c144eaa,324249,Apr-29 11:00,35,2022-04-29T18:00:00.000Z,2022-04-29T18:35:00.000Z,Presentation,Use case,English,/sessions/adopting-service-mesh-at-scale-in-production,31 Mar 2022 7:57 PM,No,,
